N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"73,000",400,-0.54%,100,"4,357,941","5,969,783",52.23,"10,345,061",12.64,13.92,
2,LG에너지솔루션,"442,000","2,000",+0.45%,500,"1,034,280","234,000",3.74,"377,150",299.66,N/A,
3,SK하이닉스,"128,500",0,0.00%,"5,000","935,483","728,002",50.85,"2,690,482",11.62,9.53,
4,삼성전자우,"66,700",200,-0.30%,100,"548,865","822,887",74.79,"560,995",11.55,N/A,
5,삼성바이오로직스,"769,000","6,000",-0.77%,"2,500","508,809","66,165",10.53,"36,163",123.95,N/A,
6,NAVER,"309,000","4,000",-1.28%,100,"506,912","164,049",55.02,"439,903",3.06,15.22,
7,LG화학,"589,000","1,000",-0.17%,"5,000","415,789","70,592",49.24,"271,921",15.35,2.93,
8,카카오,"92,600",800,+0.87%,100,"412,961","445,962",28.24,"1,726,685",36.46,2.70,
9,현대차,"180,500","1,000",-0.55%,"5,000","385,671","213,668",27.42,"546,221",9.15,2.04,
10,삼성SDI,"549,000","8,000",+1.48%,"5,000","377,517","68,765",44.25,"150,711",34.43,4.54,
11,기아,"78,000",300,+0.39%,"5,000","316,183","405,363",35.35,"672,802",7.07,5.05,
12,KB금융,"62,200",400,-0.64%,"5,000","258,633","415,808",72.17,"832,875",5.95,8.53,
13,POSCO,"276,500","2,000",-0.72%,"5,000","241,072","87,187",52.84,"273,032",4.14,3.61,
14,카카오뱅크,"47,100",150,-0.32%,"5,000","223,800","475,159",16.19,"971,353",152.43,5.08,
15,셀트리온,"160,500","2,500",-1.53%,"1,000","221,419","137,956",20.60,"410,872",40.84,16.68,
16,현대모비스,"229,000","2,500",+1.10%,"5,000","216,572","94,573",34.32,"138,543",9.22,4.66,
17,신한지주,"40,700",50,+0.12%,"5,000","210,256","516,600",62.20,"938,031",5.40,8.20,
18,삼성물산,"110,000",500,+0.46%,100,"205,576","186,887",15.87,"180,852",12.52,3.81,
19,LG전자,"125,500","4,000",+3.29%,"5,000","205,378","163,648",28.44,"1,190,404",18.11,13.23,
20,SK이노베이션,"201,500",500,+0.25%,"5,000","186,318","92,466",23.49,"297,136","-5,926.47",-13.58,
21,카카오페이,"139,500",500,+0.36%,500,"184,069","131,949",42.58,"270,583",-694.03,-17.97,
22,SK,"227,000","5,500",+2.48%,200,"168,319","74,149",21.95,"130,873",26.53,1.11,
23,하나금융지주,"50,800",400,-0.78%,"5,000","152,523","300,242",71.34,"1,004,071",4.75,8.96,
24,LG생활건강,"975,000","32,000",-3.18%,"5,000","152,277","15,618",42.27,"64,846",20.29,17.92,
25,HMM,"30,750",0,0.00%,"5,000","150,380","489,039",10.88,"11,531,347",3.87,8.93,
26,한국전력,"22,400",50,-0.22%,"5,000","143,800","641,964",14.56,"769,933",-13.20,2.91,
27,크래프톤,"286,000","12,500",+4.57%,100,"140,346","49,072",29.52,"472,797",22.42,61.86,
28,삼성전기,"170,000","5,500",+3.34%,"5,000","126,979","74,694",29.90,"486,684",13.07,10.92,
29,삼성생명,"61,700",100,-0.16%,500,"123,400","200,000",12.75,"258,786",7.89,3.53,
30,SK텔레콤,"55,000",0,0.00%,100,"120,358","218,833",45.05,"272,916",8.53,6.44,
31,LG,"75,800",400,-0.52%,"5,000","119,234","157,301",36.35,"184,027",5.00,7.50,
32,하이브,"281,500","8,000",+2.93%,500,"116,410","41,353",15.34,"531,608",100.14,12.52,
33,SK바이오사이언스,"147,000",500,+0.34%,500,"112,455","76,500",5.23,"245,826",56.60,13.25,
34,KT&G,"80,100",600,-0.74%,"5,000","109,971","137,292",36.40,"189,085",9.24,13.22,
35,삼성에스디에스,"140,500","2,000",+1.44%,500,"108,716","77,378",11.42,"62,559",16.00,6.71,
36,아모레퍼시픽,"185,500","3,000",-1.59%,500,"108,504","58,493",30.21,"256,799",71.54,0.78,
37,우리금융지주,"14,400",200,-1.37%,"5,000","104,841","728,061",33.91,"2,253,969",4.40,5.87,
38,대한항공,"29,600",150,-0.50%,"5,000","102,955","347,821",12.71,"1,400,918",13.90,-7.22,
39,엔씨소프트,"463,500","1,000",+0.22%,500,"101,757","21,954",43.61,"241,198",28.62,20.83,
40,고려아연,"529,000","3,000",+0.57%,"5,000","99,822","18,870",18.32,"21,670",13.23,8.37,
41,두산중공업,"18,700",100,+0.54%,"5,000","97,657","522,230",7.90,"4,155,937",56.33,-37.20,
42,현대중공업,"109,500","7,500",+7.35%,"5,000","97,207","88,773",2.23,"487,417",-11.95,-7.86,
43,삼성화재,"197,500",0,0.00%,500,"93,565","47,375",48.67,"157,741",8.54,4.96,
44,S-Oil,"81,400",100,+0.12%,"2,500","91,642","112,583",77.82,"251,995",7.84,-13.07,
45,SK아이이테크놀로지,"124,000","3,000",+2.48%,"1,000","88,409","71,298",10.80,"308,224",81.53,11.00,
46,넷마블,"102,500","2,000",+1.99%,100,"88,102","85,954",22.92,"136,842",37.91,6.35,
47,포스코케미칼,"113,500",500,+0.44%,500,"87,921","77,463",6.39,"159,783",63.37,2.96,
48,KT,"32,050",0,0.00%,"5,000","83,686","261,112",39.57,"356,163",8.19,4.76,
49,SK스퀘어,"57,700","2,600",+4.72%,100,"81,627","141,468",38.36,"1,469,491",N/A,N/A,
50,기업은행,"10,900",0,0.00%,"5,000","81,129","744,301",13.95,"1,006,137",4.03,6.44,
51,LG이노텍,"335,000","20,000",+6.35%,"5,000","79,285","23,667",23.25,"526,983",10.62,10.20,
52,롯데케미칼,"228,000","1,500",+0.66%,"5,000","78,148","34,275",24.87,"109,252",5.74,1.22,
53,LG디스플레이,"19,150",450,+2.41%,"5,000","68,522","357,816",17.38,"2,202,568",4.34,-0.79,
54,현대글로비스,"175,500","5,500",+3.24%,500,"65,812","37,500",42.93,"115,935",9.46,12.45,
55,한온시스템,"12,050",50,+0.42%,100,"64,323","533,800",17.60,"829,652",21.99,5.09,
56,F&F,"836,000","30,000",+3.72%,500,"64,049","7,661",14.54,"29,777",N/A,N/A,
57,한국조선해양,"89,000","5,800",+6.97%,"5,000","62,988","70,773",19.74,"447,596",-4.88,-7.42,
