,확진자,,,,,,,접종자,,,,,,,확진비율(확진자/접종자),,,,,,,,,
자치구,21.06,21.07,21.08,21.09,21.10,,자치구,21.06,21.07,21.08,21.09,21.10,,자치구,21.06,21.07,21.08,21.09,21.10,,,,,
종로구,64,201,222,396,511,,종로구,64067,79113,114242,113892,118945,,종로구,0.10%,0.25%,0.19%,0.35%,0.43%,,,,,
중구,93,213,280,562,368,,중구,55134,71425,83716,99187,104060,,중구,0.17%,0.30%,0.33%,0.57%,0.35%,,,,,
용산구,242,480,448,414,435,,용산구,65070,82264,122796,173186,180716,,용산구,0.37%,0.58%,0.36%,0.24%,0.24%,,,,,
성동구,225,487,363,591,454,,성동구,85252,107896,162919,224883,233290,,성동구,0.26%,0.45%,0.22%,0.26%,0.19%,,,,,
광진구,232,466,528,879,515,,광진구,96935,126826,193076,273100,285027,,광진구,0.24%,0.37%,0.27%,0.32%,0.18%,,,,,
동대문,194,383,432,925,1002,,동대문,108974,135938,197038,266745,278468,,동대문,0.18%,0.28%,0.22%,0.35%,0.36%,,,,,
중랑구,178,417,524,664,637,,중랑구,121020,151126,224666,305981,318538,,중랑구,0.15%,0.28%,0.23%,0.22%,0.20%,,,,,
성북구,235,486,529,747,835,,성북구,123098,157280,234755,331297,345468,,성북구,0.19%,0.31%,0.23%,0.23%,0.24%,,,,,
강북구,164,354,337,553,663,,강북구,98512,121981,178134,234629,244260,,강북구,0.17%,0.29%,0.19%,0.24%,0.27%,,,,,
도봉구,107,372,241,520,546,,도봉구,101938,129750,188046,247847,257277,,도봉구,0.10%,0.29%,0.13%,0.21%,0.21%,,,,,
노원구,248,562,412,718,787,,노원구,154746,202026,297987,391387,405901,,노원구,0.16%,0.28%,0.14%,0.18%,0.19%,,,,,
은평구,216,537,710,930,728,,은평구,143909,182485,269222,362464,376529,,은평구,0.15%,0.29%,0.26%,0.26%,0.19%,,,,,
서대문,156,407,522,538,440,,서대문,97631,121744,175291,237837,247248,,서대문,0.16%,0.33%,0.30%,0.23%,0.18%,,,,,
마포구,249,648,723,755,570,,마포구,92675,122472,190855,282433,293942,,마포구,0.27%,0.53%,0.38%,0.27%,0.19%,,,,,
양천구,181,414,584,621,493,,양천구,119022,160721,246591,334434,347776,,양천구,0.15%,0.26%,0.24%,0.19%,0.14%,,,,,
강서구,210,565,645,889,719,,강서구,170516,217764,318515,438797,457180,,강서구,0.12%,0.26%,0.20%,0.20%,0.16%,,,,,
구로구,163,559,619,1418,1595,,구로구,123988,156509,237077,332696,349617,,구로구,0.13%,0.36%,0.26%,0.43%,0.46%,,,,,
금천구,105,316,374,585,668,,금천구,71708,89772,151332,197352,207561,,금천구,0.15%,0.35%,0.25%,0.30%,0.32%,,,,,
영등포,273,650,838,1121,1027,,영등포,123349,154146,230109,318804,333221,,영등포,0.22%,0.42%,0.36%,0.35%,0.31%,,,,,
동작구,218,725,674,700,666,,동작구,114542,146243,215764,303342,314785,,동작구,0.19%,0.50%,0.31%,0.23%,0.21%,,,,,
관악구,258,1104,1012,1062,801,,관악구,134291,170451,255694,392922,411066,,관악구,0.19%,0.65%,0.40%,0.27%,0.19%,,,,,
서초구,337,769,666,659,480,,서초구,106142,143279,221425,297304,308550,,서초구,0.32%,0.54%,0.30%,0.22%,0.16%,,,,,
강남구,749,1275,1242,1242,935,,강남구,146198,193463,284088,379755,397077,,강남구,0.51%,0.66%,0.44%,0.33%,0.24%,,,,,
송파구,425,832,900,1671,1007,,송파구,184886,243642,365958,492895,511695,,송파구,0.23%,0.34%,0.25%,0.34%,0.20%,,,,,
강동구,266,518,447,863,944,,강동구,133555,172492,256541,349390,363004,,강동구,0.20%,0.30%,0.17%,0.25%,0.26%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
